ts_code,company_name,year,debt_to_assets,current_ratio,roe,roa,assets_turn,grossprofit_margin,netprofit_margin,profit_to_gr,interest_coverage_w,high_credit_risk,credit_risk_score
600173.SH,卧龙新能,2024,35.8178,2.1797,1.0825,1.9874,0.5499639999999999,14.9252,1.2241,1.2241,26.2207,0,0.20024324324324327
600208.SH,衢州发展,2020,71.6046,1.3358,8.7572,4.4761,0.0986,29.5954,23.8614,23.8614,2.4797,0,0.5312723492723492
600208.SH,衢州发展,2021,69.2353,1.2287,5.7444,3.6593,0.126,22.2041,13.5226,13.5226,2.3864,0,0.5432972972972973
600208.SH,衢州发展,2022,66.2886,1.1467,4.576,2.9346,0.1004,26.8088,13.7799,13.7799,2.3183,0,0.5496216216216216
600208.SH,衢州发展,2023,60.5955,1.1688,3.8893,4.4225,0.1462,38.3278,12.8982,12.8982,2.8546,0,0.49071517671517667
600208.SH,衢州发展,2024,56.2552,0.9659,2.4004,4.4961,0.1586,36.8914,12.1749,12.1749,2.9794,0,0.4997027027027027
600246.SH,万通发展,2020,34.3428,3.6364,0.6853,2.2525,0.1127,46.8781,5.5594,5.5594,2.3516,0,0.31775467775467775
600246.SH,万通发展,2021,31.7831,3.896775999999999,2.6118,2.7749,0.0725,35.1627,22.1447,22.1447,3.7298,0,0.22516008316008318
600246.SH,万通发展,2022,32.8861,2.7485,-4.9554,-3.0859,0.0414,39.0551,-80.775596,-80.775596,-3.8594,1,0.46701039501039504
600246.SH,万通发展,2023,32.029,2.9813,-6.6953,-3.2588,0.0531,30.9046,-79.3889,-79.3889,-4.3411,1,0.4575051975051975
600246.SH,万通发展,2024,30.6292,3.2951,-8.4565,-4.5412,0.0593,35.2559,-80.775596,-80.775596,-5.5038,1,0.4505904365904366
600266.SH,城建发展,2020,78.7015,2.4703,4.8186,2.0039,0.1094,33.1592,7.9379,7.9379,2.4457,0,0.5162266112266112
600266.SH,城建发展,2021,79.4555,2.0865,2.4969,1.3565,0.1787,22.2551,3.8349,3.8349,4.4296,0,0.5177318087318087
600266.SH,城建发展,2022,80.1976,2.0382,-3.7177,-0.2417,0.1767,13.7335,-3.5992,-3.5992,-0.8307,1,0.7254677754677754
600266.SH,城建发展,2023,80.8003,1.6649,2.3374,0.6418,0.1469,20.3902,0.4471,0.4471,2.7638,0,0.6168399168399168
600266.SH,城建发展,2024,80.021,1.6509,-4.1488,-0.7196,0.1952,15.8314,-7.3747,-7.3747,-2.4707,1,0.7841538461538461
600322.SH,津投城开,2020,88.6858,1.3751,-74.0937,-7.553444,0.1135,15.8412,-80.775596,-80.775596,-20.287831999999998,1,0.9288295218295217
600322.SH,津投城开,2021,94.4327,1.2223,-127.365696,-6.5576,0.2229,19.2324,-37.5457,-37.5457,-7.7097,1,0.9518503118503119
600322.SH,津投城开,2022,95.101728,1.0969,-86.5236,2.6026,0.1895,7.5262,-8.0981,-8.0981,0.6491,1,0.9117151767151767
600322.SH,津投城开,2023,95.101728,1.2471,17.7299,3.6651,0.1898,5.5368,-0.4962,-0.4962,1.0203,1,0.7318108108108108
600322.SH,津投城开,2024,95.101728,1.4273,-127.365696,2.4949,0.1865,19.1244,-8.5162,-8.5162,0.6252,1,0.8676153846153847
600325.SH,华发股份,2020,80.318,1.8777,14.257,2.3406,0.1835,24.3025,8.9398,8.9398,25.6366,0,0.39278794178794185
600325.SH,华发股份,2021,72.9927,2.0463,15.2962,2.09,0.1514,25.8002,9.1268,9.1268,28.9295,0,0.29015384615384615
600325.SH,华发股份,2022,72.8205,2.0193,12.7107,1.6963,0.1562,20.1844,7.9847,7.9847,44.6623,0,0.29337629937629933
600325.SH,华发股份,2023,70.8435,1.9476,8.7685,1.4407,0.1689,18.136,4.8028,4.8028,21.854,0,0.29909355509355506
600325.SH,华发股份,2024,70.2618,1.9945,4.5386,0.576,0.1376,14.3154,2.3412,2.3412,4.5715,0,0.4012016632016632
600376.SH,首开股份,2020,80.4248,1.9056,10.2795,2.8151,0.1401,27.9614,9.4611,9.4611,1.2689,1,0.5942474012474013
600376.SH,首开股份,2021,78.7905,2.0564,0.8476,1.999,0.2113,19.8137,2.459,2.459,1.0044,1,0.6539501039501039
600376.SH,首开股份,2022,75.9134,2.171,-1.5775,1.5438,0.1619,16.6171,1.9177,1.9177,0.8073,1,0.636108108108108
600376.SH,首开股份,2023,76.3629,2.3748,-25.5891,-0.7533,0.1797,11.4898,-12.4331,-12.4331,-0.3858,1,0.6753118503118503
600376.SH,首开股份,2024,77.7863,2.311,-46.1253,-2.4422,0.1002,4.7958,-38.9019,-38.9019,-1.9074,1,0.7194719334719334
600383.SH,金地集团,2020,76.5859,1.4086,18.6387,5.277,0.2281,32.8579,18.2181,18.1475,8.939,0,0.45808731808731806
600383.SH,金地集团,2021,76.1874,1.4147,15.6227,3.7808,0.2296,21.1794,13.0905,13.0513,4.9824,0,0.4879625779625779
600383.SH,金地集团,2022,72.2791,1.4196,9.527,3.1009,0.2725,20.6572,7.6364,7.6255,4.193,0,0.47671725571725565
600383.SH,金地集团,2023,68.7303,1.3701,1.3633,1.7665,0.2474,17.4064,3.2601,3.2562,2.3405,0,0.5732494802494803
600383.SH,金地集团,2024,64.7937,1.3985,-9.8551,-1.5307,0.2257,14.947,-10.3889,-10.3787,-1.7218,1,0.6721081081081082
